20000101
15.7,0.4
18.2,-0.2
15.6,-2.3
15.1,-3.9
18.7,-3.3
14.5,-1.5
18.4,-3.3
15.5,4.9
12.4,5.4
13.9,-1.3
12.9,-2.8
11.7,-4
13.7,-4.6
9.6,-4.5
11.3,4.1
12.9,1.8
13.4,0
21.1,-2.3
15.5,0.9
13.2,-2.8
13,-3.8
12,-4.4
11.9,-0.3
11.7,-2.2
5.7,-2.8
12,-1.4
15.5,4.4
14.4,0.6
16.5,-1.6
18.6,-0.2
18.4,-1.1
16.7,-0.2
19,3.6
20.9,3
17.8,0.1
17.6,-0.7
15,5.1
18.1,2.2
15.9,4.8
18.4,3.1
17.8,-2.1
18.5,2.3
17.1,-0.3
13.4,-0.8
21.9,4.4
20.7,3.3
16.2,6.1
12.4,4.6
20.2,2.8
19.3,2.4
15.7,5.7
15.2,-0.9
15,-2.2
17.6,-2
17.7,-0.5
21.4,-1.3
19.1,0
17,-0.2
16.3,3.5
17,5.4
18.8,0.9
19.3,1
19.2,-2.2
19.8,1.1
17.5,1
15.9,-0.4
18,3.9
22,1.5
27.9,1.3
27.9,2.6
23.6,2.8
21.7,1.7
17.5,4
23.2,2.1
21.4,11.7
22.2,3.8
21.1,-0.5
23.9,1.7
18.9,8
16.7,1.5
16.1,2.5
17.6,1.9
14.8,8.7
20.1,2.5
18.7,2.5
12.7,6.8
13.1,5.6
16,1.3
15.2,0.5
17,-1.3
17.1,2.8
17,0.9
17.6,3.5
19.1,5.8
21.3,6.1
18.2,7.1
18.6,3.4
16.4,0.7
14.7,3.6
14,7.5
13.8,6.6
20,9
17.2,4.6
20,4.8
22.2,7.6
17.7,5
21.4,8.4
18.4,7.9
22.8,3.7
21.4,3.9
23.7,5.9
24.2,8.1
27.1,9.3
14.2,5.6
21.5,3
25.1,5.8
22,6.6
21.2,10.6
17.5,5.4
20.9,3.2
23.3,6.5
23.9,4.2
26.5,4.7
27.8,6.1
23.7,7.8
25.5,12.6
25.4,14.3
21.9,15.1
23.8,15.3
18.4,15.3
19.4,10.8
25.8,9.1
24.2,8.7
26.9,10.6
26.8,9.6
28.5,8.5
28.7,8.6
26.6,9.5
21.5,11.7
17.9,14
23.9,9.8
25.7,8.5
17,12.3
25.6,10.9
27.6,12.5
29.8,11.6
32.1,12.8
23.2,12.8
26.1,12.1
27.6,10.6
28.7,11.5
28.4,13.7
28.6,12.9
27.2,14.2
30.9,13.8
30,11.8
28.9,12.2
26.2,12.3
28.3,11.6
